Number of Nodes:25
Number of Arcs:54
Origin:1
Destination:25
StartNode	EndNode		Cost
1	          2	        213
1	          3	        197
1	          4	        341
2	          4	        230
2	          5	        336
3	          4	        300
3	          6	        221
4	          5	        249
4	          6	        317
4	          7	        293
5	          7	        432
5	          8	        202
6	          7	        398
6	          9	        365
7	          8	        345
7	          9	        153
7	          10	      378
8	          10	      511
8	          11	      286
9	          10	      417
9	          12	      452
10          11	      462
10          12	      200
10          13	      305
11          13	      612
11          14	      270
12          13	      315
12          15	      418
13          14	      549
13          15	      259
13          16	      265
14          16	      615
14          17	      251
15          16	      296
15          18	      340
16          17	      500
16          18	      347
16          19	      243
17          19	      610
17          20	      177
18          19	      270
18          21	      286
19          20	      469
19          21	      250
19          22	      231
20          22	      512
20          23	      408
21          22	      250
21          24	      203
22          23	      161
22          24	      91
22          25	      172
23          25	      357
24          25	      152
