StartNode	EndNode		Mile   Temp    Cost      Constr  Drive_Time
1	    2	    213	    31	 	 95.85 	    22.00	196.62
1	    3	    197	    56	 	 108.35   	0.00	181.85
1	    4	    341	    20	 	 252.34   	0.00	314.77
2	    4	    230	    48	 	 154.10   	0.00	212.31
2	    5	    336	    49	 	 151.20   	0.00	310.15
3	    4	    300	    54	 	 207.00   	0.00	276.92
3	    6	    221	    53	 	 196.69   	0.00	204.00
4	    5	    249	    45	 	 226.59   	0.00	229.85
4	    6	    317	    52	 	 294.81   	0.00	292.62
4	    7	    293	    31	 	 234.40   	0.00	270.46
5	    7	    432	    34	 	 315.36   	0.00	398.77
5	    8	    202	    34	 	 90.90 	    0.00	186.46
6	    7	    398	    34	 	 362.18   	0.00	367.38
6	    9	    365	    34	 	 211.70   	0.00	336.92
7	    8	    345	    34	 	 207.00   	0.00	318.46
7	    9	    153	    34	 	 93.33 	    0.00	141.23
7	    10    378    	34	 	 245.70   	0.00	348.92
8	    10    511    	34	 	 357.70   	0.00	471.69
8	    11    286    	34	 	 128.70   	0.00	264.00
9	    10    417    	34	 	 316.92   	0.00	384.92
9	    12    452    	34	 	 334.48   	0.00	417.23
10	  11	  462	    34	 	 429.66    	0.00	426.46
10	  12	  200	    34	 	 178.00    	0.00	184.62
10	  13	  305	    34	 	 292.80    	0.00	281.54
11	  13	  612	    34	 	 477.36    	0.00	564.92
11	  14	  270	    34	 	 121.50    	0.00	249.23
12	  13	  315	    34	 	 311.85    	0.00	290.77
12	  15	  418	    34	 	 275.88    	0.00	385.85
13	  14	  549	    34	 	 532.53    	0.00	506.77
13	  15	  259	    34	 	 186.48    	0.00	239.08
13	  16	  265	    34	 	 251.75    	0.00	244.62
14	  16	  615	    34	 	 344.40    	0.00	567.69
14	  17	  251	    34	 	 112.95    	0.00	231.69
15	  16	  296	    34	 	 233.84    	0.00	273.23
15	  18	  340	    34	 	 299.20    	0.00	313.85
16	  17	  500	    34	 	 465.00    	0.00	461.54
16	  18	  347	    34	 	 256.78    	0.00	320.31
16	  19	  243	    34	 	 204.12    	0.00	224.31
17	  19	  610	    34	 	 366.00    	0.00	563.08
17	  20	  177	    34	 	 79.65    	0.00	163.38
18	  19	  270	    34	 	 191.70    	0.00	249.23
18	  21	  286	    34	 	 243.10    	0.00	264.00
19	  20	  469	    34	 	 464.31    	0.00	432.92
19	  21	  250	    34	 	 180.00    	0.00	230.77
19	  22	  231	    34	 	 138.60    	0.00	213.23
20	  22	  512	    34	 	 332.80    	0.00	472.62
20	  23	  408	    34	 	 265.20    	0.00	376.62
21	  22	  250	    34	 	 245.00    	0.00	230.77
21	  24	  203	    34	 	 166.46    	0.00	187.38
22	  23	  161	    34	 	 101.43    	0.00	148.62
22	  24	  91	    34	 	 59.15 	    0.00	84.00
22	  25	  172	    34	 	 96.32    	0.00	158.77
23	  25	  357	    34	 	 228.48    	0.00	329.54
24	  25	  152	    34	 	 100.32    	0.00	140.31
